ID ;FAMILIA BANDA;TIPO BANDA;ESTADO ;PRODUCTOS VALIDADOS ;MAQUINAS VALIDAS;UBICACIÓN;IMAGEN;COMENTARIOS;;;REPARACION;;52303
30004;ANGOSTA;CORRUGADA SIN SEPARADORES;Ok;"1. MIXER 
2. Canulas";;52301;Imagen;;;;;;52305
30005;ANGOSTA;CORRUGADA SIN SEPARADORES;Ok;"1. MIXER 
2. Canulas";;52402;Imagen;;;;;;52306
30006;ANCHA;CORRUGADO CON SEPARADOR COMPLETO;Ok;"1. TAPON
2. Canulas";;52303;Imagen;;;;;;52307
30007;ANCHA;CORRUGADA SIN SEPARADORES;NOK;MIXER;;52305;Imagen;;;;;;52308
30008;ANCHA;LISA CON SEPARADORES SEMI COMPLETO;OK;PLUG;;52306;Imagen;;;;;;52309
30009;ANGOSTA;LISA CON SEPARADORES INCOMPLETO;OK;;;52307;Imagen;;;;;;52408
30010;ANCHA;CORRUGADA SIN SEPARADORES;OK;;;52308;Imagen;;;;;;52311
30011;ANCHA;CORRUGADA SIN SEPARADORES;OK;;;52309;Imagen;;;;;;52409
30012;ANCHA;LISA CON SEPARADORES COMPLETOS;NOK;;;52408;Imagen;Cuando cae la pieza pega con soporte de metal y marca la tapa.;;Imagen;Imagen;;ALMACEN
30013;ANGOSTA;LISA CON SEPARADORES INCOMPLETO;OK;;;52311;Imagen;;;;;;52211
30014;ANCHA;LISA CON SEPARADORES INCOMPLETO;OK;;;52409;Imagen;;;;;;52210
30015;ANGOSTA;LISA CON SEPARADORES INCOMPLETO;OK;;;ALMACEN;Imagen;;;;;;52209
30016;ANCHA;CORRUGADA CON SERPARADOR INCOMPLETO;OK;;;52211;Imagen;;;;;;52208
30017;ANCHA;CORRUGADA SIN SEPARADORES;OK;;;52210;Imagen;;;;;;52207
30018;ANCHA;LISA CON SEPARADORES COMPLETOS;OK;;;52209;Imagen;Potencial daño a mi de pequeño ;;;;;52206
30019;ANCHA;CORRUGADA CON SERPARADOR INCOMPLETO;OK;;;52208;Imagen;Potencial daño a mixer  pequeño ;;;;;52205
30020;ANCHA;LISA CON SEPARADORES INCOMPLETO;OK;;;52207;Imagen;;;;;;52204
30021;ANCHA;LISA CON SEPARADORES COMPLETOS;OK;;;52206;Imagen;;;Imagen;;;52203
30022;ANCHA;CORRUGADO CON SEPARADOR COMPLETO;OK;;;52205;Imagen;;;;;;
30023;ANCHA;LISA CON SEPARADORES INCOMPLETO;OK;;;52204;Imagen;;;;;;
30024;ANCHA;CORRUGADO CON SEPARADOR COMPLETO;OK;;;52203;Imagen;;;;;;
30025;;;OK;;;52201;Imagen;;;;;;
 ;; ; ; ; ; ; ; ;;;;;
